id,name,nametype,recclass,mass,year,reclat,reclong,coordinates
4928,Bali,Valid,CV3,1000.0,1907-01-01,5.38333,16.38333,"[16, 5]"
4934,Ban Rong Du,Valid,"Iron, ungrouped",16700.0,1993-01-01,16.66667,101.18333,"[101, 16]"
4935,Bandong,Valid,LL6,11500.0,1871-01-01,-6.91667,107.6,"[107, -6]"
4936,Bansur,Valid,L6,15000.0,1892-01-01,27.7,76.33333,"[76, 27]"
4937,Banswal,Valid,L5,14.0,1913-01-01,30.4,78.2,"[78, 30]"
4938,Banten,Valid,CM2,629.0,1933-01-01,-6.33333,106.0,"[106, -6]"
4942,Barbotan,Valid,H5,6400.0,1790-01-01,43.95,-0.05,"[0, 43]"
4946,Barea,Valid,Mesosiderite-A1,3200.0,1842-01-01,42.38333,-2.5,"[-2, 42]"
4947,Barnaul,Valid,H5,23.2,1904-01-01,52.73333,84.08333,"[84, 52]"
4948,Barntrup,Valid,LL4,17.0,1886-01-01,52.0,9.1,"[9, 52]"
4949,Baroti,Valid,L6,4500.0,1910-01-01,31.61667,76.8,"[76, 31]"
4954,Barwell,Valid,L5,44000.0,1965-01-01,52.56528,-1.33972,"[-1, 52]"
44876,Bassikounou,Valid,H5,29560.0,2006-01-01,15.78333,-5.9,"[-5, 15]"
4957,Baszkówka,Valid,L5,15500.0,1994-01-01,52.03333,20.93583,"[20, 52]"
4974,Bath,Valid,H4,21000.0,1892-01-01,45.41667,-98.31667,"[-98, 45]"
4975,Bath Furnace,Valid,L6,86000.0,1902-01-01,38.25,-83.75,"[-83, 38]"
56133,Battle Mountain,Valid,L6,2900.0,2012-01-01,40.66813,-117.18913,"[-117, 40]"
4976,Bawku,Valid,LL5,1557.0,1989-01-01,11.08333,-0.18333,"[0, 11]"
4977,Baxter,Valid,L6,611.0,1916-01-01,36.75,-93.5,"[-93, 36]"
4984,Beardsley,Valid,H5,16000.0,1929-01-01,39.8,-101.2,"[-101, 39]"
4986,Beaver Creek,Valid,H5,14000.0,1893-01-01,51.16667,-117.33333,"[-117, 51]"
4993,Beddgelert,Valid,H5,794.0,1949-01-01,53.01667,-4.1,"[-4, 53]"
5005,Bells,Valid,C2-ung,375.0,1961-01-01,33.6,-96.46667,"[-96, 33]"
5011,Benares (a),Valid,LL4,3700.0,1798-01-01,25.36667,82.91667,"[82, 25]"
30443,Benguerir,Valid,LL6,25000.0,2004-01-01,32.25,-8.15,"[-8, 32]"
5018,Beni M'hira,Valid,L6,19000.0,2001-01-01,32.86667,10.8,"[10, 32]"
5021,Benld,Valid,H6,1770.5,1938-01-01,39.08333,-89.15,"[-89, 39]"
5023,Benoni,Valid,H6,3880.0,1943-01-01,-26.16667,28.41667,"[28, -26]"
5024,Bensour,Valid,LL6,45000.0,2002-01-01,30.0,-7.0,"[-7, 30]"
5026,Benton,Valid,LL6,2840.0,1949-01-01,45.95,-67.55,"[-67, 45]"
48975,Berduc,Valid,L6,270.0,2008-01-01,-31.91,-58.32833,"[-58, -31]"
5028,Béréba,Valid,Eucrite-mmict,18000.0,1924-01-01,11.65,-3.65,"[-3, 11]"
5029,Berlanguillas,Valid,L6,1440.0,1811-01-01,41.68333,-3.8,"[-3, 41]"
47355,Berthoud,Valid,Eucrite-mmict,960.0,2004-01-01,40.30583,-105.02325,"[-105, 40]"
5032,Bethlehem,Valid,H,13.9,1859-01-01,42.53333,-73.83333,"[-73, 42]"
5034,Beuste,Valid,L5,2000.0,1859-01-01,43.21667,-0.23333,"[0, 43]"
5035,Beyrout,Valid,LL3.8,1100.0,1921-01-01,33.88333,35.5,"[35, 33]"
5037,Bhagur,Valid,L6,18.0,1877-01-01,20.88333,74.83333,"[74, 20]"
36591,Bhawad,Valid,LL6,678.0,2002-01-01,26.50833,73.11528,"[73, 26]"
5039,Bherai,Valid,L6,100.0,1893-01-01,20.83333,71.46667,"[71, 20]"
5040,Bhola,Valid,LL3-6,1047.0,1940-01-01,22.68333,90.65,"[90, 22]"
5041,Bholghati,Valid,Howardite,2500.0,1905-01-01,22.08333,86.9,"[86, 22]"
5042,Bialystok,Valid,Eucrite-pmict,4000.0,1827-01-01,53.1,23.2,"[23, 53]"
5043,Bielokrynitschie,Valid,H4,1900.0,1887-01-01,50.13333,27.16667,"[27, 50]"
5045,Bilanga,Valid,Diogenite,25000.0,1999-01-01,12.45,-0.08333,"[0, 12]"
5051,Binningup,Valid,H5,488.1,1984-01-01,-33.15639,115.67639,"[115, -33]"
5056,Birni N'konni,Valid,H4,560.0,1923-01-01,13.76667,5.3,"[5, 13]"
5059,Bishopville,Valid,Aubrite,6000.0,1843-01-01,34.16667,-80.28333,"[-80, 34]"
5060,Bishunpur,Valid,LL3.15,1039.0,1895-01-01,25.38333,82.6,"[82, 25]"
5063,Bjelaja Zerkov,Valid,H6,1850.0,1796-01-01,49.78333,30.16667,"[30, 49]"
5064,Bjurböle,Valid,L/LL4,330000.0,1899-01-01,60.4,25.8,"[25, 60]"
5065,Black Moshannan Park,Valid,L5,705.0,1941-01-01,40.91667,-78.08333,"[-78, 40]"
5068,Blackwell,Valid,L5,2381.0,1906-01-01,36.83333,-97.33333,"[-97, 36]"
5071,Blanket,Valid,L6,5100.0,1909-01-01,31.83333,-98.83333,"[-98, 31]"
5072,Blansko,Valid,H6,470.0,1833-01-01,49.36667,16.63333,"[16, 49]"
5076,Bloomington,Valid,LL6,67.8,1938-01-01,40.48,-89.00417,"[-89, 40]"
5090,Bo Xian,Valid,LL3.9,7500.0,1977-01-01,33.83333,115.83333,"[115, 33]"
5093,Bocas,Valid,L6,56.0,1804-01-01,23.0,-102.0,"[-102, 23]"
5097,Bogou,Valid,"Iron, IAB-MG",8800.0,1962-01-01,12.5,0.7,"[0, 12]"
5098,Boguslavka,Valid,"Iron, IIAB",256000.0,1916-01-01,44.55,131.63333,"[131, 44]"
5110,Borgo San Donino,Valid,LL6,1676.0,1808-01-01,44.86667,10.05,"[10, 44]"
5111,Bori,Valid,L6,8600.0,1894-01-01,21.95,78.03333,"[78, 21]"
5112,Boriskino,Valid,CM2,1342.0,1930-01-01,54.23333,52.48333,"[52, 54]"
5113,Borkut,Valid,L5,7000.0,1852-01-01,48.15,24.28333,"[24, 48]"
5114,Borodino,Valid,H5,500.0,1812-01-01,55.46667,35.86667,"[35, 55]"
5117,Botschetschki,Valid,L4,614.0,1823-01-01,51.33333,33.88333,"[33, 51]"
57168,Boumdeid (2003),Valid,L6,190.0,2003-01-01,17.71067,-11.3715,"[-11, 17]"
57167,Boumdeid (2011),Valid,L6,3599.0,2011-01-01,17.17493,-11.34133,"[-11, 17]"
5121,Bovedy,Valid,L3,5460.0,1969-01-01,54.56667,-6.33333,"[-6, 54]"
5128,Bradford Woods,Valid,L,762.0,1886-01-01,40.5,-80.08333,"[-80, 40]"
5133,Braunau,Valid,"Iron, IIAB",39000.0,1847-01-01,50.6,16.3,"[16, 50]"
5134,Breitscheid,Valid,H5,1500.0,1956-01-01,50.66694,8.18361,"[8, 50]"
5135,Bremervörde,Valid,H/L3.9,7250.0,1855-01-01,53.4,9.1,"[9, 53]"
5140,Brient,Valid,Eucrite-pmict,219.0,1933-01-01,52.13333,59.31667,"[59, 52]"
5156,Bruderheim,Valid,L6,303000.0,1960-01-01,53.9,-112.88333,"[-112, 53]"
30448,Bukhara,Valid,CV3,5300.0,2001-01-01,39.77978,64.60035,"[64, 39]"
48653,Bunburra Rockhole,Valid,Eucrite,324.0,2007-01-01,-31.35,129.19,"[129, -31]"
5165,Bununu,Valid,Howardite,357.0,1942-01-01,10.01667,9.58333,"[9, 10]"
5169,Bur-Gheluai,Valid,H5,120000.0,1919-01-01,5.0,48.0,"[48, 5]"
5175,Burnwell,Valid,H4-an,1504.0,1990-01-01,37.62194,-82.23722,"[-82, 37]"
5177,Bursa,Valid,L6,25000.0,1946-01-01,40.2,29.23333,"[29, 40]"
5178,Buschhof,Valid,L6,5000.0,1863-01-01,46.45,25.78333,"[25, 46]"
5181,Bustee,Valid,Aubrite,1500.0,1852-01-01,26.78333,82.83333,"[82, 26]"
5183,Butsura,Valid,H6,29000.0,1861-01-01,27.08333,84.08333,"[84, 27]"
48654,Buzzard Coulee,Valid,H4,41000.0,2008-01-01,52.996,-109.84817,"[-109, 52]"
5185,Cabezo de Mayo,Valid,L/LL6,25000.0,1870-01-01,37.98333,-1.16667,"[-1, 37]"
5186,Cabin Creek,Valid,"Iron, IIIAB",48500.0,1886-01-01,35.5,-93.5,"[-93, 35]"
5187,Cacak,Valid,OC,212.0,1919-01-01,43.83889,20.33333,"[20, 43]"
45976,Cali,Valid,H/L4,478.0,2007-01-01,3.405,-76.51,"[-76, 3]"
5200,Calivo,Valid,Stone-uncl,2400.0,1916-01-01,11.75,122.33333,"[122, 11]"
5249,Campos Sales,Valid,L5,23680.0,1991-01-01,-7.03333,-40.16667,"[-40, -7]"
5250,Çanakkale,Valid,L6,4000.0,1964-01-01,39.8,26.6,"[26, 39]"
5251,Cañellas,Valid,H4,945.0,1861-01-01,41.25,1.66667,"[1, 41]"
5252,Cangas de Onis,Valid,H5,34000.0,1866-01-01,43.38333,-5.15,"[-5, 43]"
5253,Canon City,Valid,H6,1400.0,1973-01-01,38.47028,-105.24139,"[-105, 38]"
5260,Cape Girardeau,Valid,H6,2300.0,1846-01-01,37.26667,-89.58333,"[-89, 37]"
5264,Capilla del Monte,Valid,H6,750.0,1934-01-01,-30.88333,-64.55,"[-64, -30]"
45817,Carancas,Valid,H4-5,342.0,2007-01-01,-16.66444,-69.04389,"[-69, -16]"
5265,Caratash,Valid,LL6,8.0,1902-01-01,38.5,27.0,"[27, 38]"
5291,Castalia,Valid,H5,7300.0,1874-01-01,36.08333,-78.06667,"[-78, 36]"
5293,Castine,Valid,L6,94.0,1848-01-01,44.38333,-68.75,"[-68, 44]"
5296,Caswell County,Valid,OC,1360.0,1810-01-01,36.5,-79.25,"[-79, 36]"
5306,Ceniceros,Valid,L3.7,1025.0,1988-01-01,26.46667,-105.23333,"[-105, 26]"
5307,Centerville,Valid,H5,45.6,1956-01-01,43.2,-96.91667,"[-96, 43]"
5308,Cereseto,Valid,H5,6460.0,1840-01-01,45.08333,8.3,"[8, 45]"
5313,Chadong,Valid,L6,3700.0,1998-01-01,28.53333,109.31667,"[109, 28]"
5314,Chail,Valid,H6,0.5,1814-01-01,25.36667,81.66667,"[81, 25]"
